Ranks,Nesting,Dset,Gset,OMP,PKG_LIMIT,ExecTime
32,DGZ,16,32,8,90,10.2121
32,DGZ,16,32,8,95,10.2122
32,DGZ,16,32,8,100,10.0118
32,DGZ,32,1,8,50,16.8745
32,DGZ,32,1,8,55,15.062
32,DGZ,32,1,8,60,13.6671
32,DGZ,32,1,8,65,12.2287
32,DGZ,32,1,8,70,10.6182
32,DGZ,32,1,8,75,9.6126
32,DGZ,32,1,8,80,9.4122
32,DGZ,32,1,8,85,9.4119
32,DGZ,32,1,8,90,9.2117
32,DGZ,32,1,8,95,9.412
32,DGZ,32,1,8,100,9.4121
32,DGZ,32,2,8,50,16.0965
32,DGZ,32,2,8,55,14.4676
32,DGZ,32,2,8,60,12.8368
32,DGZ,32,2,8,65,11.8218
32,DGZ,32,2,8,70,10.6168
32,DGZ,32,2,8,75,9.8126
32,DGZ,32,2,8,80,9.4129
32,DGZ,32,2,8,85,9.4121
32,DGZ,32,2,8,90,9.4118
32,DGZ,32,2,8,95,9.4119
32,DGZ,32,2,8,100,9.4122
32,DGZ,32,4,8,50,15.0543
32,DGZ,32,4,8,55,13.6561
32,DGZ,32,4,8,60,12.2276
32,DGZ,32,4,8,65,11.4383
32,DGZ,32,4,8,70,10.2159
32,DGZ,32,4,8,75,9.4124
32,DGZ,32,4,8,80,9.2117
32,DGZ,32,4,8,85,9.2119
32,DGZ,32,4,8,90,9.2116
32,DGZ,32,4,8,95,9.2117
32,DGZ,32,4,8,100,9.2116
32,DGZ,32,8,8,50,18.0582
32,DGZ,32,8,8,60,14.8649
32,DGZ,32,8,8,65,13.6245
32,DGZ,32,8,8,70,12.617
32,DGZ,32,8,8,75,11.4144
32,DGZ,32,8,8,80,11.2142
32,DGZ,32,8,8,85,11.0144
32,DGZ,32,8,8,90,11.0137
32,DGZ,32,8,8,95,10.8134
32,DGZ,32,8,8,100,11.0136
32,DGZ,32,16,8,50,21.6744
32,DGZ,32,16,8,55,19.8427
32,DGZ,32,16,8,60,18.6422
32,DGZ,32,16,8,65,16.4379
32,DGZ,32,16,8,70,14.8201
32,DGZ,32,16,8,75,13.6167
32,DGZ,32,16,8,80,13.2162
32,DGZ,32,16,8,85,13.4162
32,DGZ,32,16,8,90,13.2158
32,DGZ,32,16,8,95,13.6164
32,DGZ,32,16,8,100,13.2159
32,DGZ,32,32,8,50,29.6858
32,DGZ,32,32,8,55,26.2592
32,DGZ,32,32,8,60,24.0388
32,DGZ,32,32,8,65,22.0277
32,DGZ,32,32,8,70,20.2241
32,DGZ,32,32,8,75,18.8217
32,DGZ,32,32,8,80,18.4212
32,DGZ,32,32,8,85,18.2208
32,DGZ,32,32,8,90,18.0205
32,DGZ,32,32,8,95,18.4213
32,DGZ,32,32,8,100,18.4209
32,DGZ,8,1,10,50,9.2477
32,DGZ,8,1,10,55,8.8754
32,DGZ,8,1,10,60,8.6483
32,DGZ,8,1,10,65,8.0133
32,DGZ,8,1,10,70,5.2107
32,DGZ,8,1,10,75,4.6071
32,DGZ,8,1,10,80,4.4064
32,DGZ,8,1,10,85,4.4063
32,DGZ,8,1,10,90,4.2064
32,DGZ,8,1,10,95,4.2061
32,DGZ,8,1,10,100,4.2056
32,DGZ,8,2,10,50,7.4527
32,DGZ,8,2,10,55,6.6678
32,DGZ,8,2,10,60,6.0514
32,DGZ,8,2,10,65,5.4151
32,DGZ,8,2,10,70,4.8121
32,DGZ,8,2,10,75,4.2071
32,DGZ,8,2,10,80,3.8057
32,DGZ,8,2,10,85,3.6051
32,DGZ,8,2,10,90,3.6052
32,DGZ,8,2,10,95,3.605
32,DGZ,8,2,10,100,3.6048
32,DGZ,8,4,10,50,6.2127
32,DGZ,8,4,10,55,5.8413
32,DGZ,8,4,10,60,5.2461
32,DGZ,8,4,10,65,4.8072
32,DGZ,8,4,10,70,4.209
32,DGZ,8,4,10,75,3.8064
32,DGZ,8,4,10,80,3.6053
32,DGZ,8,4,10,85,3.4048
32,DGZ,8,4,10,90,3.2045
32,DGZ,8,4,10,95,3.2045
32,DGZ,8,4,10,100,3.2043
32,DGZ,8,8,10,50,6.8354
32,DGZ,8,8,10,55,6.0629
32,DGZ,8,8,10,60,5.6271
32,DGZ,8,8,10,65,5.0538
32,DGZ,8,8,10,70,4.4102
32,DGZ,8,8,10,75,4.0061
